emtak,quarter,national_tax,employee_tax,revenue,employees
 AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS,2020_III,315362654.0,312685563.0,49311567.0,28195.0
AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS,2021_III,278982967.0,286911928.0,58741426.0,29253.0
EHITUS,2020_III,160967143.0,84367702.0,1422454306.0,53089.0
EHITUS,2021_III,180173527.0,97812167.0,1731194889.0,52396.0
EKSTERRITORIAALSETE ORGANISATSIOONIDE JA ÜKSUSTE TEGEVUS,2020_III,21314.0,22570.0,2066.0,9.0
EKSTERRITORIAALSETE ORGANISATSIOONIDE JA ÜKSUSTE TEGEVUS,2021_III,22138.0,23132.0,4125.0,10.0
"ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE",2020_III,44920545.0,15793693.0,492208692.0,4838.0
"ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE",2021_III,44481675.0,15258727.0,712906150.0,4510.0
FINANTS- JA KINDLUSTUSTEGEVUS,2020_III,72238162.0,51069052.0,402003425.0,13430.0
FINANTS- JA KINDLUSTUSTEGEVUS,2021_III,81152769.0,57567790.0,542375074.0,12534.0
HALDUS- JA ABITEGEVUSED,2020_III,83901047.0,52669828.0,515324813.0,40497.0
HALDUS- JA ABITEGEVUSED,2021_III,100859320.0,63134698.0,526512014.0,40904.0
HARIDUS,2020_III,70841854.0,72336766.0,31714589.0,67783.0
HARIDUS,2021_III,78669628.0,78880665.0,39307398.0,69387.0
HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT,2020_III,754239381.0,163015898.0,7753619621.0,97290.0
HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT,2021_III,847094135.0,193165679.0,9594341621.0,95601.0
INFO JA SIDE,2020_III,138252812.0,97622174.0,1050386237.0,30030.0
INFO JA SIDE,2021_III,180655907.0,122273401.0,1288661552.0,30541.0
KINNISVARAALANE TEGEVUS,2020_III,92451240.0,20128185.0,566299024.0,23789.0
KINNISVARAALANE TEGEVUS,2021_III,82661943.0,21628400.0,720323811.0,17505.0
KODUMAJAPIDAMISTE KUI TÖÖANDJATE TEGEVUS; KODUMAJAPIDAMISTE OMA TARBEKS MÕELDUD ERISTAMATA KAUPAD,2020_III,1038.0,1094.0,0.0,5.0
KODUMAJAPIDAMISTE KUI TÖÖANDJATE TEGEVUS; KODUMAJAPIDAMISTE OMA TARBEKS MÕELDUD ERISTAMATA KAUPAD,2021_III,761.0,799.0,3654.0,4.0
"KUNST, MEELELAHUTUS JA VABA AEG",2020_III,34157853.0,20006426.0,65382882.0,21181.0
"KUNST, MEELELAHUTUS JA VABA AEG",2021_III,40438036.0,23888293.0,98456261.0,20063.0
"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS",2020_III,100191200.0,60220038.0,594741963.0,36495.0
"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS",2021_III,123184637.0,73220894.0,1239521476.0,32378.0
MAJUTUS JA TOITLUSTUS,2020_III,37057967.0,20851078.0,234084983.0,25466.0
MAJUTUS JA TOITLUSTUS,2021_III,42020277.0,25085196.0,281272151.0,25446.0
MUUD TEENINDAVAD TEGEVUSED,2020_III,18573231.0,14889536.0,69554621.0,16830.0
MUUD TEENINDAVAD TEGEVUSED,2021_III,21946045.0,15948043.0,86539410.0,14795.0
MÄETÖÖSTUS,2020_III,11195038.0,8277648.0,65057378.0,2937.0
MÄETÖÖSTUS,2021_III,10391648.0,6670740.0,77920653.0,2087.0
"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK",2020_III,49764140.0,23583946.0,411149227.0,16379.0
"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK",2021_III,63618682.0,26966134.0,539055597.0,15536.0
TERVISHOID JA SOTSIAALHOOLEKANNE,2020_III,96370237.0,99751829.0,20197107.0,50671.0
TERVISHOID JA SOTSIAALHOOLEKANNE,2021_III,109817885.0,113762696.0,18597165.0,51881.0
TÖÖTLEV TÖÖSTUS,2020_III,323903600.0,211585654.0,4158944656.0,108593.0
TÖÖTLEV TÖÖSTUS,2021_III,361019081.0,244706984.0,5009825993.0,108448.0
"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS",2021_III,17133600.0,9566442.0,238191951.0,3941.0
VEEVARUSTUS; KANALISATSIOON; JÄÄTME- JA SAASTEKÄITLUS,2020_III,17909215.0,8056822.0,162380279.0,3908.0
VEONDUS JA LAONDUS,2020_III,237634194.0,71194623.0,1315051619.0,40866.0
VEONDUS JA LAONDUS,2021_III,295400010.0,79402535.0,1572817685.0,39283.0
